baseline_feature_set,comparison_feature_set,r2_difference_vs_usage_only,r2_difference_ci_low,r2_difference_ci_high,f1_difference_vs_usage_only,f1_difference_ci_low,f1_difference_ci_high
usage_only,extracted_reports_only,-2.7372677726924888,-3.0033010720159976,-2.5082121809774116,-0.5269328817027883,-0.5662240753111683,-0.4873468018551663
usage_only,true_reports_only,-2.820768819814404,-3.1008319140362994,-2.5865555304315317,-0.5311574952561671,-0.5681969153798918,-0.4921216115166213
usage_only,usage_plus_extracted_reports,0.004260521279155105,0.0011353187392748848,0.007489800369136955,-0.00886488590473411,-0.034814550519881346,0.016480998653260717
usage_only,usage_plus_true_reports,0.010604317951114939,0.006849634229087664,0.014337904846509642,-0.02499204682827516,-0.050676321461150704,0.0020374631105548376
